customer,product,amount,unit_price
Bob,T-shirt,3,15.0
Diana,Sneakers,2,50.0
Bob,Jeans,4,40.0
Alice,T-shirt,1,15.0
Diana,Sneakers,1,50.0
Diana,Scarf,2,10.0
Hannah,Hat,1,20.0
Charlie,Scarf,3,10.0
Ethan,Jacket,2,80.0
Fiona,Jeans,1,40.0
George,Jeans,3,40.0
Fiona,Hat,1,20.0
Hannah,Jeans,4,40.0
Bob,Hat,3,20.0
Diana,Jeans,1,40.0
Diana,Hat,1,20.0
Diana,Jeans,4,40.0
Ethan,Shorts,3,25.0
Charlie,Socks,3,5.0
Diana,Hat,1,20.0
Charlie,Sneakers,2,50.0
Hannah,Scarf,3,10.0
Diana,Socks,1,5.0
Diana,T-shirt,3,15.0
George,Hat,1,20.0
Diana,Socks,2,5.0
Hannah,Scarf,4,10.0
Charlie,Hat,2,20.0
Diana,Hat,4,20.0
George,Socks,2,5.0
Charlie,Shorts,1,25.0
Alice,Jeans,2,40.0
Charlie,Scarf,1,10.0
George,Scarf,4,10.0
Ethan,T-shirt,1,15.0
Ethan,Socks,1,5.0
Ethan,Scarf,2,10.0
Hannah,T-shirt,3,15.0
Charlie,Jeans,3,40.0
Diana,Jacket,3,80.0
Charlie,T-shirt,3,15.0
Hannah,T-shirt,1,15.0
Fiona,Hat,2,20.0
Alice,Sneakers,1,50.0
Bob,Shorts,1,25.0
Charlie,Jacket,4,80.0
Charlie,Hat,4,20.0
Diana,Sneakers,3,50.0
George,Socks,4,5.0
Hannah,Jeans,2,40.0
Diana,Jeans,3,40.0
Alice,Sneakers,2,50.0
Alice,Jeans,1,40.0
Diana,Jeans,1,40.0
Fiona,Jeans,2,40.0
Ethan,Shorts,2,25.0
Charlie,Shorts,2,25.0
Hannah,Scarf,2,10.0
Bob,Jeans,4,40.0
Fiona,Scarf,4,10.0
Hannah,T-shirt,1,15.0
Alice,Scarf,3,10.0
Bob,Sneakers,2,50.0
Diana,Shorts,2,25.0
George,Jacket,3,80.0
Hannah,Sneakers,1,50.0
Hannah,Jeans,1,40.0
Alice,Jeans,2,40.0
Charlie,Scarf,4,10.0
Hannah,Sneakers,4,50.0
Alice,Jacket,4,80.0
Alice,Scarf,3,10.0
Hannah,Hat,4,20.0
Hannah,Jacket,2,80.0
Ethan,Sneakers,1,50.0
Alice,Socks,1,5.0
Alice,Shorts,2,25.0
Alice,Jeans,2,40.0
Bob,Jeans,2,40.0
George,Jeans,2,40.0
Alice,Jeans,4,40.0
Fiona,Hat,2,20.0
Fiona,Sneakers,3,50.0
George,Jacket,3,80.0
Hannah,Socks,1,5.0
Alice,Shorts,1,25.0
Bob,Sneakers,3,50.0
Charlie,Socks,1,5.0
Diana,Socks,3,5.0
Charlie,Shorts,3,25.0
Alice,Hat,1,20.0
Charlie,Hat,1,20.0
Bob,Jacket,3,80.0
Ethan,Sneakers,3,50.0
Diana,Hat,4,20.0
Ethan,T-shirt,1,15.0
George,Hat,1,20.0
Alice,Socks,2,5.0
Ethan,Jacket,4,80.0
George,T-shirt,1,15.0
Bob,Jacket,1,80.0
Fiona,Jacket,4,80.0
Charlie,T-shirt,3,15.0
Fiona,T-shirt,3,15.0
Diana,Sneakers,1,50.0
Fiona,Scarf,2,10.0
Diana,Jacket,2,80.0
George,T-shirt,2,15.0
Fiona,Scarf,2,10.0
Ethan,Jacket,1,80.0
George,T-shirt,4,15.0
Diana,Sneakers,4,50.0
Fiona,Hat,2,20.0
Diana,T-shirt,2,15.0
George,Socks,3,5.0
Bob,Hat,3,20.0
George,Socks,1,5.0
Bob,Hat,2,20.0
Ethan,T-shirt,1,15.0
George,Socks,3,5.0
George,Jeans,4,40.0
Diana,Hat,1,20.0
George,T-shirt,2,15.0
Fiona,Scarf,1,10.0
Fiona,Socks,1,5.0
Ethan,Hat,4,20.0
Fiona,Scarf,3,10.0
Charlie,Sneakers,4,50.0
George,Jacket,3,80.0
George,T-shirt,3,15.0
Ethan,Sneakers,4,50.0
Fiona,Shorts,4,25.0
Hannah,Sneakers,4,50.0
Charlie,Jeans,3,40.0
Fiona,Jeans,2,40.0
Ethan,Sneakers,2,50.0
Charlie,T-shirt,1,15.0
Diana,Shorts,1,25.0
